role,date,location,link,source,keywords_matched
"Account Executive, Enterprise, UK",2025-12-10,"London, United Kingdom",https://jobs.ashbyhq.com/notion/f8ee0af3-89e1-441a-ab51-faa62097979d,Notion,
"Account Executive, Enterprise, France",2025-12-10,"Paris, France",https://jobs.ashbyhq.com/notion/a86b061d-02fb-4354-a263-7fb7306dd09e,Notion,
"Account Executive, Enterprise, DACH",2025-12-10,"Munich, Germany",https://jobs.ashbyhq.com/notion/d9d9ff4b-966e-4471-93d9-ebbc60d040b7,Notion,
"Account Executive, Commerical, Nordics",2025-12-10,"Dublin, Ireland",https://jobs.ashbyhq.com/notion/fd9d8454-27e2-4e4c-af2e-c136e6a5cf71,Notion,
"Account Executive, Commercial, France",2025-12-10,"Dublin, Ireland",https://jobs.ashbyhq.com/notion/c76cc26a-bf61-4076-89f0-188ae6362f99,Notion,
"Account Executive, Commercial, DACH",2025-12-10,"Dublin, Ireland",https://jobs.ashbyhq.com/notion/17d76ca7-2edc-44c9-8ee4-9b1a07a6dbe9,Notion,
"Account Executive, Commercial, Benelux",2025-12-10,"Dublin, Ireland",https://jobs.ashbyhq.com/notion/490dc0d9-81c5-4c29-af4e-eb6348201aeb,Notion,
"Account Executive, Commercial",2025-12-10,"New York, New York",https://jobs.ashbyhq.com/notion/600324a4-7df1-4499-9380-4c1cddd2a008,Notion,
"Account Executive, Commercial",2025-12-10,"San Francisco, California",https://jobs.ashbyhq.com/notion/0810dcca-ac29-4f72-b44f-a777d0108550,Notion,
"Account Executive - Mid Market, Japan",2025-12-10,"Tokyo, Japan",https://jobs.ashbyhq.com/notion/26bc4374-8571-4c10-9d71-36bbe776da2a,Notion,
"Account Executive - Enterprise, Japan",2025-12-10,"Tokyo, Japan",https://jobs.ashbyhq.com/notion/207f5a14-0005-48f9-a4a0-01be50e88895,Notion,
"Account Executive - Commercial, Sydney",2025-12-10,"Sydney, Australia",https://jobs.ashbyhq.com/notion/9f4f0855-32c4-480a-9eed-80457aee4769,Notion,
"Account Executive - Commercial, Japan",2025-12-10,"Tokyo, Japan",https://jobs.ashbyhq.com/notion/74f2a07a-fa6e-4275-a6f1-f4745b2fdfad,Notion,
AI Solutions Specialist,2025-12-10,"Dublin, Ireland",https://jobs.ashbyhq.com/notion/e0054fc2-1d69-413e-9261-9dd6a1c98359,Notion,
AI Applications Engineer,2025-12-10,"San Francisco, California",https://jobs.ashbyhq.com/notion/bc9a9573-e963-48a7-b7b9-a32017f28916,Notion,
"ソリューションアーキテクト Tokyo, Japan",2025-12-10,Unspecified,https://www.databricks.com/company/careers/field-engineering---other/-8194876002,Databricks,
"Workplace Manager Bengaluru, India",2025-12-10,Unspecified,https://www.databricks.com/company/careers/administration/workplace-manager--8324646002,Databricks,
"VP, Alliance Singapore",2025-12-10,Unspecified,https://www.databricks.com/company/careers/exec-sales/vp-alliance-8144041002,Databricks,
"UX Research Intern Seattle, Washington",2025-12-10,Unspecified,https://www.databricks.com/company/careers/product/ux-research-intern-8143590002,Databricks,
"Technical Writer Seattle, Washington",2025-12-10,Unspecified,https://www.databricks.com/company/careers/product/technical-writer-8029119002,Databricks,
"Technical Writer San Francisco, California",2025-12-10,Unspecified,https://www.databricks.com/company/careers/product/technical-writer-8027593002,Databricks,
"Technical Solutions Manager, Platform Sao Paulo, Brazil",2025-12-10,Unspecified,https://www.databricks.com/company/careers/support/technical-solutions-manager-platform-8128605002,Databricks,
"Technical Accounting Manager - External Reporting and Technical Accounting Mountain View, California; San Francisco, California",2025-12-10,Unspecified,https://www.databricks.com/company/careers/finance/technical-accounting-manager---external-reporting-and-technical-accounting-8168385002,Databricks,
"Tech Lead - Platform Monitoring Engineer Plano, Texas; United States",2025-12-10,Unspecified,https://www.databricks.com/company/careers/support/tech-lead---platform-monitoring-engineer-8284218002,Databricks,
"Team Lead, Executive Support Costa Rica",2025-12-10,Unspecified,https://www.databricks.com/company/careers/corporate-operations/team-lead-executive-support-8223327002,Databricks,
"Team Lead, Emerging Enterprise /Digital Native London, United Kingdom",2025-12-10,Unspecified,https://www.databricks.com/company/careers/enterprise-sales/team-lead-emerging-enterprise--digital-native-8299062002,Databricks,
Strategic Hunter Account Executive - Retail Central - United States; Northeast - United States; Southeast - United States,2025-12-10,Unspecified,https://www.databricks.com/company/careers/enterprise-sales/strategic-hunter-account-executive---retail--8168293002,Databricks,
"Strategic Enterprise Account Executive, Life Sciences Northeast - United States",2025-12-10,Unspecified,https://www.databricks.com/company/careers/enterprise-sales/strategic-enterprise-account-executive-life-sciences-8174996002,Databricks,
"Strategic Enterprise Account Executive, Financial Services Remote - Washington D.C.",2025-12-10,Unspecified,https://www.databricks.com/company/careers/enterprise-sales/strategic-enterprise-account-executive-financial-services-8198990002,Databricks,
"Strategic Enterprise Account Executive, Financial Services Remote - New York",2025-12-10,Unspecified,https://www.databricks.com/company/careers/enterprise-sales/strategic-enterprise-account-executive-financial-services-7849196002,Databricks,
"Strategic Enterprise Account Executive, DOJ/FBI Remote - Washington D.C.",2025-12-10,Unspecified,https://www.databricks.com/company/careers/public-sector-sales/strategic-enterprise-account-executive-doj-fbi-8250136002,Databricks,
Strategic Enterprise Account Executive - UAE (UK or Paris Based) United Kingdom,2025-12-10,Unspecified,https://www.databricks.com/company/careers/enterprise-sales/strategic-enterprise-account-executive---uae-uk-or-paris-based-8228539002,Databricks,
"Strategic Enterprise Account Executive - UAE (UK or Paris Based) Paris, France",2025-12-10,Unspecified,https://www.databricks.com/company/careers/enterprise-sales/strategic-enterprise-account-executive---uae-uk-or-paris-based-8249211002,Databricks,
"Strategic Enterprise Account Executive - Hunter Toronto, Canada",2025-12-10,Unspecified,https://www.databricks.com/company/careers/enterprise-sales/strategic-enterprise-account-executive---hunter--8305177002,Databricks,
"Strategic Enterprise Account Executive - Financial Services Tokyo, Japan",2025-12-10,Unspecified,https://www.databricks.com/company/careers/enterprise-sales/strategic-enterprise-account-executive---financial-services-7852613002,Databricks,
"Strategic Digital Native Account Executive San Francisco, California",2025-12-10,Unspecified,https://www.databricks.com/company/careers/enterprise-sales/strategic-digital-native-account-executive-8197192002,Databricks,
"Strategic Core Account Executive, Monterrey Mexico",2025-12-10,Unspecified,https://www.databricks.com/company/careers/enterprise-sales/strategic-core-account-executive-monterrey-8191741002,Databricks,
"Strategic Core Account Executive, Federal System Integrators Remote - Washington D.C.",2025-12-10,Unspecified,https://www.databricks.com/company/careers/enterprise-sales/strategic-core-account-executive-federal-system-integrators-8193165002,Databricks,
"Strategic Core Account Executive, DHS Remote - Washington D.C.",2025-12-10,Unspecified,https://www.databricks.com/company/careers/enterprise-sales/strategic-core-account-executive-dhs-8193163002,Databricks,
Strategic Core Account Executive Remote - California,2025-12-10,Unspecified,https://www.databricks.com/company/careers/enterprise-sales/strategic-core-account-executive-8323707002,Databricks,
"Strategic Core Account Executive Melbourne, Australia; Western Australia, Australia",2025-12-10,Unspecified,https://www.databricks.com/company/careers/enterprise-sales/strategic-core-account-executive-8194979002,Databricks,
"Strategic Account Executive Seoul, South Korea",2025-12-10,Unspecified,https://www.databricks.com/company/careers/enterprise-sales/strategic-account-executive-8090009002,Databricks,
"Strategic Account Executive - Manufacturing Tokyo, Japan",2025-12-10,Unspecified,https://www.databricks.com/company/careers/enterprise-sales/strategic-account-executive---manufacturing-8194912002,Databricks,
Strategic Account Executive - Hong Kong (Singapore Based) Hong Kong; Singapore,2025-12-10,Unspecified,https://www.databricks.com/company/careers/enterprise-sales/strategic-account-executive---hong-kong-singapore-based-8194904002,Databricks,
Strategic Account Executive - FSI (Singapore Based) Singapore,2025-12-10,Unspecified,https://www.databricks.com/company/careers/enterprise-sales/strategic-account-executive---fsi-singapore-based-8045953002,Databricks,
"Strategic Account Executive - Digital Native Tokyo, Japan",2025-12-10,Unspecified,https://www.databricks.com/company/careers/enterprise-sales/strategic-account-executive---digital-native-8194916002,Databricks,
"Strategic Account Executive - Automotive Tokyo, Japan",2025-12-10,Unspecified,https://www.databricks.com/company/careers/enterprise-sales/strategic-account-executive---automotive-8194910002,Databricks,
"Strategic Account Executive (Energy & Utilities) Munich, Germany",2025-12-10,Unspecified,https://www.databricks.com/company/careers/enterprise-sales/strategic-account-executive-energy--utilities-7958115002,Databricks,
"Strategic Account Director - FSI Melbourne, Australia",2025-12-10,Unspecified,https://www.databricks.com/company/careers/enterprise-sales/strategic-account-director---fsi-8194983002,Databricks,
"Strategic Account Director - Digital Native Sydney, Australia",2025-12-10,Unspecified,https://www.databricks.com/company/careers/enterprise-sales/strategic-account-director---digital-native-8194985002,Databricks,
"Startup Account Executive Chicago, Illinois; Denver, Colorado; New York City, New York; San Francisco, California; Seattle, Washington",2025-12-10,Unspecified,https://www.databricks.com/company/careers/commercial--mid-market-sales/startup-account-executive-8103500002,Databricks,
"Staff Technical Writer, Platform Seattle, Washington",2025-12-10,Unspecified,https://www.databricks.com/company/careers/product/staff-technical-writer-platform-8026857002,Databricks,
"Staff Technical Writer, Platform San Francisco, California",2025-12-10,Unspecified,https://www.databricks.com/company/careers/product/staff-technical-writer-platform-8025165002,Databricks,
"Staff Technical Solutions Engineer, Platform Sao Paulo, Brazil",2025-12-10,Unspecified,https://www.databricks.com/company/careers/support/staff-technical-solutions-engineer-platform-8007203002,Databricks,
"Staff Technical Solutions Engineer (Platform) Bengaluru, India",2025-12-10,Unspecified,https://www.databricks.com/company/careers/support/staff-technical-solutions-engineer-platform-7845334002,Databricks,
"Staff Technical Solutions Engineer (Apache Spark™) Bengaluru, India",2025-12-10,Unspecified,https://www.databricks.com/company/careers/support/staff-technical-solutions-engineer-apache-spark-7761852002,Databricks,
"Staff Technical Program Manager, Streaming Engineering Mountain View, California",2025-12-10,Unspecified,https://www.databricks.com/company/careers/engineering---pipeline/staff-technical-program-manager-streaming-engineering-8289827002,Databricks,
"Staff Technical Program Manager Mountain View, California; San Francisco, California",2025-12-10,Unspecified,https://www.databricks.com/company/careers/it/staff-technical-program-manager-8085290002,Databricks,
"Staff Technical Instructor Bengaluru, India; Mumbai, India",2025-12-10,Unspecified,https://www.databricks.com/company/careers/education--training/staff-technical-instructor-8194599002,Databricks,
"Staff Software Engineer- Networking Bengaluru, India",2025-12-10,Unspecified,https://www.databricks.com/company/careers/engineering---pipeline/staff-software-engineer--networking-7648669002,Databricks,
"Staff Software Engineer, Search Quality Mountain View, California",2025-12-10,Unspecified,https://www.databricks.com/company/careers/engineering---pipeline/staff-software-engineer-search-quality-8295792002,Databricks,
"Staff Software Engineer, Observability Mountain View, California",2025-12-10,Unspecified,https://www.databricks.com/company/careers/engineering/staff-software-engineer-observability--8328675002,Databricks,
"Staff Software Engineer, Model Serving San Francisco, California",2025-12-10,Unspecified,https://www.databricks.com/company/careers/engineering/staff-software-engineer-model-serving--8211647002,Databricks,
"Staff Software Engineer, Metrics and Logging Mountain View, California",2025-12-10,Unspecified,https://www.databricks.com/company/careers/engineering/staff-software-engineer-metrics-and-logging-8298247002,Databricks,
"Staff Software Engineer, Foundational Model Serving San Francisco, California",2025-12-10,Unspecified,https://www.databricks.com/company/careers/engineering/staff-software-engineer-foundational-model-serving-8224683002,Databricks,
"Staff Software Engineer, Agentic Applications Mountain View, California",2025-12-10,Unspecified,https://www.databricks.com/company/careers/integration-data-engineering-and-applications/staff-software-engineer-agentic-applications-7535166002,Databricks,
"Staff Software Engineer - User Activation San Francisco, California",2025-12-10,Unspecified,https://www.databricks.com/company/careers/engineering---pipeline/staff-software-engineer---user-activation-7979523002,Databricks,
"Staff Software Engineer - Unity Catalog Mountain View, California",2025-12-10,Unspecified,https://www.databricks.com/company/careers/engineering---pipeline/staff-software-engineer---unity-catalog-7933498002,Databricks,
"Staff Software Engineer - Security Infrastructure Mountain View, California",2025-12-10,Unspecified,https://www.databricks.com/company/careers/executive-engineering---pipeline/staff-software-engineer---security-infrastructure-7994770002,Databricks,
"Staff Software Engineer - Security Infrastructure Bellevue, Washington",2025-12-10,Unspecified,https://www.databricks.com/company/careers/executive-engineering---pipeline/staff-software-engineer---security-infrastructure-7994759002,Databricks,
"Staff Software Engineer - Networking Infra Bengaluru, India",2025-12-10,Unspecified,https://www.databricks.com/company/careers/engineering---pipeline/staff-software-engineer---networking-infra-7619810002,Databricks,
"Staff Software Engineer - Money, Infrastructure Bengaluru, India",2025-12-10,Unspecified,https://www.databricks.com/company/careers/engineering---pipeline/staff-software-engineer---money-infrastructure-7654349002,Databricks,
"Staff Software Engineer - Money Team Bellevue, Washington",2025-12-10,Unspecified,https://www.databricks.com/company/careers/engineering---pipeline/staff-software-engineer---money-team-7111068002,Databricks,
"Staff Software Engineer - Ingestion Bengaluru, India",2025-12-10,Unspecified,https://www.databricks.com/company/careers/engineering---pipeline/staff-software-engineer---ingestion-8201686002,Databricks,
"Staff Software Engineer - Infrastructure Bengaluru, India",2025-12-10,Unspecified,https://www.databricks.com/company/careers/engineering---pipeline/staff-software-engineer---infrastructure-7648674002,Databricks,
"Staff Software Engineer - IAM Mountain View, California",2025-12-10,Unspecified,https://www.databricks.com/company/careers/executive-engineering---pipeline/staff-software-engineer---iam-7994801002,Databricks,
"Staff Software Engineer - IAM Bellevue, Washington",2025-12-10,Unspecified,https://www.databricks.com/company/careers/executive-engineering---pipeline/staff-software-engineer---iam-7994790002,Databricks,
"Staff Software Engineer - GenAI inference San Francisco, California",2025-12-10,Unspecified,https://www.databricks.com/company/careers/engineering---pipeline/staff-software-engineer---genai-inference-8202698002,Databricks,
"Staff Software Engineer - GenAI Performance and Kernel San Francisco, California",2025-12-10,Unspecified,https://www.databricks.com/company/careers/engineering---pipeline/staff-software-engineer---genai-performance-and-kernel-8202700002,Databricks,
"Staff Software Engineer - Fullstack Vancouver, Canada",2025-12-10,Unspecified,https://www.databricks.com/company/careers/engineering---pipeline/staff-software-engineer---fullstack-8099343002,Databricks,
"Staff Software Engineer - Distributed Data Systems San Francisco, California",2025-12-10,Unspecified,https://www.databricks.com/company/careers/engineering---pipeline/staff-software-engineer---distributed-data-systems-5646855002,Databricks,
"Staff Software Engineer - Distributed Data Systems Mountain View, California",2025-12-10,Unspecified,https://www.databricks.com/company/careers/engineering---pipeline/staff-software-engineer---distributed-data-systems-6544364002,Databricks,
"Staff Software Engineer - Distributed Data Systems Belgrade, Serbia",2025-12-10,Unspecified,https://www.databricks.com/company/careers/engineering---pipeline/staff-software-engineer---distributed-data-systems-8012831002,Databricks,
"Staff Software Engineer - Developer Experience Amsterdam, Netherlands",2025-12-10,Unspecified,https://www.databricks.com/company/careers/engineering---pipeline/staff-software-engineer---developer-experience-8029676002,Databricks,
"Staff Software Engineer - Databases Bengaluru, India",2025-12-10,Unspecified,https://www.databricks.com/company/careers/engineering---pipeline/staff-software-engineer---databases-7601565002,Databricks,
"Staff Software Engineer - Database Engine Internals San Francisco, California",2025-12-10,Unspecified,https://www.databricks.com/company/careers/engineering---pipeline/staff-software-engineer---database-engine-internals-5646866002,Databricks,
"Staff Software Engineer - Database Engine Internals Mountain View, California",2025-12-10,Unspecified,https://www.databricks.com/company/careers/engineering---pipeline/-staff-software-engineer---database-engine-internals-6544386002,Databricks,
"Staff Software Engineer - Database Engine Internals Belgrade, Serbia",2025-12-10,Unspecified,https://www.databricks.com/company/careers/engineering---pipeline/staff-software-engineer---database-engine-internals-8012818002,Databricks,
"Staff Software Engineer - Data Platform Bengaluru, India",2025-12-10,Unspecified,https://www.databricks.com/company/careers/engineering---pipeline/staff-software-engineer---data-platform-7652016002,Databricks,
"Staff Software Engineer - Data Platform Bengaluru, India",2025-12-10,Unspecified,https://www.databricks.com/company/careers/engineering---pipeline/staff-software-engineer---data-platform-7601572002,Databricks,
"Staff Software Engineer - Customer Engagement & Docs Platform San Francisco, California",2025-12-10,Unspecified,https://www.databricks.com/company/careers/engineering---pipeline/staff-software-engineer---customer-engagement--docs-platform-8032546002,Databricks,
"Staff Software Engineer - Core Experiences Bengaluru, India",2025-12-10,Unspecified,https://www.databricks.com/company/careers/engineering---pipeline/staff-software-engineer---core-experiences--6716344002,Databricks,
"Staff Software Engineer - Backend Vancouver, Canada",2025-12-10,Unspecified,https://www.databricks.com/company/careers/engineering---pipeline/staff-software-engineer---backend--8093293002,Databricks,
"Staff Software Engineer - Backend Seattle, Washington",2025-12-10,Unspecified,https://www.databricks.com/company/careers/engineering---pipeline/staff-software-engineer---backend-6779232002,Databricks,
"Staff Software Engineer - Backend San Francisco, California",2025-12-10,Unspecified,https://www.databricks.com/company/careers/engineering---pipeline/staff-software-engineer---backend-5408888002,Databricks,
"Staff Software Engineer - Backend Mountain View, California",2025-12-10,Unspecified,https://www.databricks.com/company/careers/engineering---pipeline/staff-software-engineer---backend-6544443002,Databricks,
"Staff Software Engineer - Backend Berlin, Germany",2025-12-10,Unspecified,https://www.databricks.com/company/careers/engineering---pipeline/staff-software-engineer---backend-7984907002,Databricks,
"Staff Software Engineer - Backend Bengaluru, India",2025-12-10,Unspecified,https://www.databricks.com/company/careers/engineering---pipeline/staff-software-engineer---backend-8320187002,Databricks,
"Staff Software Engineer - Backend Bengaluru, India",2025-12-10,Unspecified,https://www.databricks.com/company/careers/engineering---pipeline/staff-software-engineer---backend-6759671002,Databricks,
"Staff Software Engineer - Backend Bellevue, Washington",2025-12-10,Unspecified,https://www.databricks.com/company/careers/engineering---pipeline/staff-software-engineer---backend-6779233002,Databricks,
"Staff Software Engineer - Backend Belgrade, Serbia",2025-12-10,Unspecified,https://www.databricks.com/company/careers/engineering---pipeline/staff-software-engineer---backend-8012814002,Databricks,
"Staff Software Engineer - Backend Aarhus, Denmark",2025-12-10,Unspecified,https://www.databricks.com/company/careers/engineering---pipeline/staff-software-engineer---backend---7642799002,Databricks,
"Staff Software Engineer , Search Ranking (Applied AI) Bengaluru, India",2025-12-10,Unspecified,https://www.databricks.com/company/careers/engineering---pipeline/staff-software-engineer--search-ranking-applied-ai-7958688002,Databricks,
Staff Security Software Engineer United States,2025-12-10,Unspecified,https://www.databricks.com/company/careers/security/staff-security-software-engineer-7932280002,Databricks,
Staff Security Detection Engineer United States,2025-12-10,Unspecified,https://www.databricks.com/company/careers/security/staff-security-detection-engineer--8184634002,Databricks,
"Staff Security Assurance Engineer, Third Party Risk Management Remote - India",2025-12-10,Unspecified,https://www.databricks.com/company/careers/security/staff-security-assurance-engineer-third-party-risk-management-7909792002,Databricks,
"Staff Security Assurance Engineer San Francisco, California",2025-12-10,Unspecified,https://www.databricks.com/company/careers/security/staff-security-assurance-engineer-8199405002,Databricks,
"Staff Project Manager, Professional Services Seoul, South Korea",2025-12-10,Unspecified,https://www.databricks.com/company/careers/professional-services-operations/staff-project-manager-professional-services-8034691002,Databricks,
Staff Product Security Engineer United States,2025-12-10,Unspecified,https://www.databricks.com/company/careers/security/staff-product-security-engineer-7882009002,Databricks,
Staff Product Security Engineer Remote - United Kingdom,2025-12-10,Unspecified,https://www.databricks.com/company/careers/security/staff-product-security-engineer-8148273002,Databricks,
Staff Product Security Engineer Remote - Netherlands,2025-12-10,Unspecified,https://www.databricks.com/company/careers/security/staff-product-security-engineer-8026634002,Databricks,
Staff Product Security Engineer Remote - Germany,2025-12-10,Unspecified,https://www.databricks.com/company/careers/security/staff-product-security-engineer-8148278002,Databricks,
"Staff Product Operations Manager Mountain View, California",2025-12-10,Unspecified,https://www.databricks.com/company/careers/product/staff-product-operations-manager-8236022002,Databricks,
"Staff Product Manager, Security Seattle, Washington",2025-12-10,Unspecified,https://www.databricks.com/company/careers/product/staff-product-manager-security-7110509002,Databricks,
"Staff Product Manager, Security San Francisco, California",2025-12-10,Unspecified,https://www.databricks.com/company/careers/product/staff-product-manager-security-7110499002,Databricks,
"Staff Product Manager, Databricks Notebooks Seattle, Washington",2025-12-10,Unspecified,https://www.databricks.com/company/careers/product/staff-product-manager-databricks-notebooks--8297805002,Databricks,
"Staff Product Manager, Databricks Notebooks San Francisco, California",2025-12-10,Unspecified,https://www.databricks.com/company/careers/product/staff-product-manager-databricks-notebooks--8221270002,Databricks,
"Staff Product Manager, Content Experience Seattle, Washington",2025-12-10,Unspecified,https://www.databricks.com/company/careers/product/staff-product-manager-content-experience-8041821002,Databricks,
"Staff Product Manager, Content Experience San Francisco, California",2025-12-10,Unspecified,https://www.databricks.com/company/careers/product/staff-product-manager-content-experience-8040989002,Databricks,
"Staff Product Manager Berlin, Germany",2025-12-10,Unspecified,https://www.databricks.com/company/careers/product/staff-product-manager-7649411002,Databricks,
"Staff Product Manager Amsterdam, Netherlands",2025-12-10,Unspecified,https://www.databricks.com/company/careers/product/staff-product-manager-7649409002,Databricks,
"Staff People Partner Mountain View, California; San Francisco, California; Seattle, Washington",2025-12-10,Unspecified,https://www.databricks.com/company/careers/people-business-partners/staff-people-partner-8282511002,Databricks,
"Staff People Partner Bengaluru, India",2025-12-10,Unspecified,https://www.databricks.com/company/careers/people-business-partners/staff-people-partner-8029782002,Databricks,
"Staff Network Engineer London, United Kingdom",2025-12-10,Unspecified,https://www.databricks.com/company/careers/infrastructure/staff-network-engineer-8315172002,Databricks,
"Staff Network Engineer Amsterdam, Netherlands",2025-12-10,Unspecified,https://www.databricks.com/company/careers/infrastructure/staff-network-engineer-8027292002,Databricks,
"Staff GenAI Research Scientist San Francisco, California",2025-12-10,Unspecified,https://www.databricks.com/company/careers/engineering---pipeline/staff-genai-research-scientist-7434532002,Databricks,
"Staff GenAI Research Scientist New York City, New York",2025-12-10,Unspecified,https://www.databricks.com/company/careers/engineering---pipeline/staff-genai-research-scientist-7434541002,Databricks,
"Staff Fullstack Engineer San Francisco, California",2025-12-10,Unspecified,https://www.databricks.com/company/careers/engineering---pipeline/staff-fullstack-engineer-6704975002,Databricks,
"Staff Fullstack Engineer - Enterprise Apps Mountain View, California",2025-12-10,Unspecified,https://www.databricks.com/company/careers/engineering---pipeline/staff-fullstack-engineer---enterprise-apps-8220836002,Databricks,
Staff Enablement Program Manager United States,2025-12-10,Unspecified,https://www.databricks.com/company/careers/education--training/staff-enablement-program-manager-8172541002,Databricks,
Staff Enablement Program Manager - Field Engineering Onboarding United States,2025-12-10,Unspecified,https://www.databricks.com/company/careers/field-engineering---enablement/staff-enablement-program-manager---field-engineering-onboarding-8185057002,Databricks,
"Staff Enablement Program Management Munich, Germany",2025-12-10,Unspecified,https://www.databricks.com/company/careers/education--training/staff-enablement-program-management-8191648002,Databricks,
"Staff Designated Support Engineer San Francisco, California",2025-12-10,Unspecified,https://www.databricks.com/company/careers/engineering/staff-designated-support-engineer-7839474002,Databricks,
"Staff Data Scientist San Francisco, California",2025-12-10,Unspecified,https://www.databricks.com/company/careers/engineering---pipeline/staff-data-scientist--5507088002,Databricks,
"Staff Data Scientist - Trust and Safety San Francisco, California",2025-12-10,Unspecified,https://www.databricks.com/company/careers/engineering---pipeline/-staff-data-scientist---trust-and-safety-8178287002,Databricks,
"Staff Data Scientist - Infrastructure Mountain View, California",2025-12-10,Unspecified,https://www.databricks.com/company/careers/engineering---pipeline/staff-data-scientist---infrastructure-7069793002,Databricks,
"Staff Data & AI Technical Solutions Engineer Sao Paulo, Brazil",2025-12-10,Unspecified,https://www.databricks.com/company/careers/support/staff-data--ai-technical-solutions-engineer-8006984002,Databricks,
Staff Customer Enablement Program Manager - Global Singapore,2025-12-10,Unspecified,https://www.databricks.com/company/careers/education--training/staff-customer-enablement-program-manager---global-8229800002,Databricks,
"Staff Backline Engineer (Spark) Bengaluru, India",2025-12-10,Unspecified,https://www.databricks.com/company/careers/support/staff-backline-engineer-spark-8218286002,Databricks,
"Sr. Technical Solutions Engineer (Platform) Seoul, South Korea",2025-12-10,Unspecified,https://www.databricks.com/company/careers/support/sr-technical-solutions-engineer-platform-8097106002,Databricks,
"Sr. Technical Program Manager (Release Management) Berlin, Germany",2025-12-10,Unspecified,https://www.databricks.com/company/careers/engineering---pipeline/sr-technical-program-manager-release-management-8244038002,Databricks,
"Sr. Technical Instructor Seoul, South Korea",2025-12-10,Unspecified,https://www.databricks.com/company/careers/field-engineering---enablement/sr-technical-instructor-8185064002,Databricks,
"Sr. Technical Enablement Specialist Bengaluru, India",2025-12-10,Unspecified,https://www.databricks.com/company/careers/field-engineering---enablement/sr-technical-enablement-specialist-8185059002,Databricks,
Sr. Technical Enablement Specialist / Learning Architect United States,2025-12-10,Unspecified,https://www.databricks.com/company/careers/field-engineering---enablement/sr-technical-enablement-specialist---learning-architect-8041031002,Databricks,
"Sr. Staff Technical Program Manager - GenAI Mountain View, California",2025-12-10,Unspecified,https://www.databricks.com/company/careers/executive-engineering---pipeline/sr-staff-technical-program-manager---genai-8023728002,Databricks,
Sr. Staff Technical Enablement Specialist United States,2025-12-10,Unspecified,https://www.databricks.com/company/careers/field-engineering---enablement/sr-staff-technical-enablement-specialist-8185048002,Databricks,
"Sr. Staff Software Engineer, Search Mountain View, California",2025-12-10,Unspecified,https://www.databricks.com/company/careers/engineering/sr-staff-software-engineer-search-7987301002,Databricks,
"Sr. Staff Software Engineer, CoreX Mountain View, California",2025-12-10,Unspecified,https://www.databricks.com/company/careers/engineering/sr-staff-software-engineer-corex-7987676002,Databricks,
"Sr. Staff Software Engineer - Unity Catalog Data Governance Bellevue, Washington",2025-12-10,Unspecified,https://www.databricks.com/company/careers/exec-engineering/sr-staff-software-engineer---unity-catalog-data-governance-7993609002,Databricks,
"Sr. Staff Software Engineer - Money Team Bellevue, Washington",2025-12-10,Unspecified,https://www.databricks.com/company/careers/engineering/sr-staff-software-engineer---money-team-8285949002,Databricks,
"Sr. Staff Software Engineer - Metadata Intelligence Mountain View, California",2025-12-10,Unspecified,https://www.databricks.com/company/careers/engineering/sr-staff-software-engineer---metadata-intelligence-8204016002,Databricks,
"Sr. Staff Software Engineer - AI + Data Intelligence Platform Mountain View, California; San Francisco, California",2025-12-10,Unspecified,https://www.databricks.com/company/careers/engineering/sr-staff-software-engineer---ai--data-intelligence-platform-7823561002,Databricks,
"Sr. Staff IT Product Manager - Automation Mountain View, California; San Francisco, California",2025-12-10,Unspecified,https://www.databricks.com/company/careers/integration-data-engineering-and-applications/sr-staff-it-product-manager---automation-8186068002,Databricks,
"Sr. Staff Fullstack Engineer Mountain View, California",2025-12-10,Unspecified,https://www.databricks.com/company/careers/engineering---pipeline/sr-staff-fullstack-engineer-8220902002,Databricks,
"Sr. Staff Designated Support Engineer San Francisco, California",2025-12-10,Unspecified,https://www.databricks.com/company/careers/support/sr-staff-designated-support-engineer-7995111002,Databricks,
"Sr. Staff Backend Software Engineer - Enterprise Apps Mountain View, California",2025-12-10,Unspecified,https://www.databricks.com/company/careers/engineering---pipeline/sr-staff-backend-software-engineer----enterprise-apps-8220983002,Databricks,
Sr. Specialist Solutions Architect - AWS Partner Solution Architect West Coast - United States,2025-12-10,Unspecified,https://www.databricks.com/company/careers/-field-engineering---indirect/sr-specialist-solutions-architect---aws-partner-solution-architect-8108693002,Databricks,
"Sr. Specialist Solutions Architect - AWS Partner Solution Architect Seattle, Washington",2025-12-10,Unspecified,https://www.databricks.com/company/careers/-field-engineering---indirect/sr-specialist-solutions-architect---aws-partner-solution-architect-8061728002,Databricks,
"Sr. Solutions Engineer, Retail - CPG Illinois",2025-12-10,Unspecified,https://www.databricks.com/company/careers/field-engineering/sr-solutions-engineer-retail---cpg-7507778002,Databricks,
"Sr. Solutions Engineer Tokyo, Japan",2025-12-10,Unspecified,https://www.databricks.com/company/careers/field-engineering---other/sr-solutions-engineer-8017528002,Databricks,
Sr. Solutions Engineer Singapore,2025-12-10,Unspecified,https://www.databricks.com/company/careers/field-engineering---other/sr-solutions-engineer-7919787002,Databricks,
"Sr. Solutions Engineer Seoul, South Korea",2025-12-10,Unspecified,https://www.databricks.com/company/careers/field-engineering---other/sr-solutions-engineer-8228058002,Databricks,
